Opened	Name	City	Market
9/8/2021	Lebanon & Parkwood	Frisco	Texas\DallasFortWorth
9/7/2021	Pickup - Broadway btwn 36th & 37th	New York	NewYork\NewYorkCity
9/6/2021	I-64 & SR 135	Corydon	Indiana\IndianaRemoteMarkets
9/4/2021	Florida Ave & Stanford St., Hemet	Hemet	California\RiversideCounty
9/3/2021	Westbrook, Main Street	Westbrook	Maine
9/3/2021	Butterfield & Route 53	Glen Ellyn	Illinois\Chicagoland
9/3/2021	7200 Wisconsin Ave	Bethesda	Maryland\WashingtonDCArea
9/3/2021	Hwy 12 & Mission Blvd	Santa Rosa	California\SonomaCounty
9/3/2021	Kulpsville DT Sumney Town Pike	Landsdale	Pennsylvania\Philadelphia
9/3/2021	McMullen Booth Rd & Coachman	Clearwater	Florida\StPetersburg
9/2/2021	Desert Inn and Decatur	Las Vegas	Nevada\LasVegas
9/2/2021	51 & Pflaum Rd	Madison	Wisconsin\Madison
9/2/2021	Pickup - Yorba Linda & Lakeview	Yorba Linda	California\OrangeCounty
9/1/2021	109th & Lexington - Blaine	Blaine	Minnesota\Minneapolis
8/30/2021	Horizon Blvd & Darrington Rd	Horizon	Texas\ElPaso
8/30/2021	Hwy 74 Alt & Sparks, Forest City	Forest City	NorthCarolina\NorthCarolinaRemoteMarkets
8/28/2021	US 41 & Apollo Beach Blvd	Apollo Beach	Florida\Tampa
8/27/2021	I-16 & Pooler Pkwy	Pooler	Georgia\Savannah
8/26/2021	US 51 & Devon	Stillwater	Oklahoma\OklahomaRemoteMarkets
8/26/2021	Pickup - Ionia & Oakes	Grand Rapids	Michigan\GrandRapids
8/25/2021	Brossard, Blvd Taschereau	Brossard	Quebec\Montreal
8/25/2021	32nd & Shea	Phoenix	Arizona\Phoenix
8/24/2021	US 441 & Bowens Mill Rd	Douglas	Georgia\GeorgiaRemoteMarkets
8/24/2021	Brookfield Place 1 - Lobby	New York	NewYork\NewYorkCity
8/24/2021	I-95N & 53E, Emporia, VA	Emporia	Virginia\VirginiaRemoteMarkets
8/23/2021	14th & Prospect	Ponca City	Oklahoma\OklahomaRemoteMarkets
8/23/2021	14th Ave & W Main - Lewistown	Lewistown	Montana
8/23/2021	Hwy 29 & Becker Rd	Liberty Hill	Texas\RemoteMarkets
8/23/2021	North Tarrant Parkway & Beach	Fort Worth	Texas\DallasFortWorth
